Model,Encoder,Loss,Epochs,Optimizer,LR,Valid mIoU (fg),Valid IoU MA,Valid IoU HE,Valid IoU EX,Valid IoU SE,Test mIoU (fg),Test IoU MA,Test IoU HE,Test IoU EX,Test IoU SE
Custom U-Net,From scratch (64→1024),"FocalTversky (α=0.3,β=0.7,γ=0.75)",100 (early stop),Adam,3e-4,0.0569,0.0193,0.0490,0.1593,0.0000,0.0965,0.0122,0.0800,0.2940,0.0000
SMP U-Net (ResNet34),ResNet34 + ImageNet,"CombinedDiceCE (50/50, weighted)",50 (early stop),AdamW,1e-4,0.1073,0.0376,0.0996,0.1758,0.1163,0.1212,0.0258,0.1283,0.3011,0.0295
