Split,Pixel Accuracy,Mean IoU (fg),IoU BG,IoU MA,IoU HE,IoU EX,IoU SE
valid,0.9867,0.0569,0.9877,0.0193,0.0490,0.1593,0.0000
test,0.9816,0.0965,0.9824,0.0122,0.0800,0.2940,0.0000
